Epoch: [0][0/1427]	 lr:0.01000	Time 0.810 (0.810)	Loss 6.2037 (6.2037)	Prec@1 0.000 (0.000)	
Epoch: [0][10/1427]	 lr:0.01000	Time 0.080 (0.144)	Loss 5.9996 (6.1335)	Prec@1 48.438 (25.284)	
Epoch: [0][20/1427]	 lr:0.01000	Time 0.104 (0.112)	Loss 5.1223 (5.9151)	Prec@1 75.000 (40.699)	
Epoch: [0][30/1427]	 lr:0.01000	Time 0.080 (0.102)	Loss 3.5833 (5.4210)	Prec@1 54.688 (46.673)	
Epoch: [0][40/1427]	 lr:0.01000	Time 0.101 (0.097)	Loss 1.2626 (4.5816)	Prec@1 65.625 (51.143)	
Epoch: [0][50/1427]	 lr:0.01000	Time 0.056 (0.095)	Loss 0.3293 (3.8546)	Prec@1 75.000 (55.699)	
Epoch: [0][60/1427]	 lr:0.01000	Time 0.073 (0.091)	Loss 0.1057 (3.2547)	Prec@1 78.125 (59.452)	
Epoch: [0][70/1427]	 lr:0.01000	Time 0.075 (0.088)	Loss 0.0802 (2.8076)	Prec@1 81.250 (62.170)	
Epoch: [0][80/1427]	 lr:0.01000	Time 0.077 (0.085)	Loss 0.0614 (2.4693)	Prec@1 75.000 (64.390)	
Epoch: [0][90/1427]	 lr:0.01000	Time 0.084 (0.085)	Loss 0.0784 (2.2042)	Prec@1 75.000 (66.604)	
Epoch: [0][100/1427]	 lr:0.01000	Time 0.099 (0.084)	Loss 0.0389 (1.9910)	Prec@1 90.625 (68.394)	
Epoch: [0][110/1427]	 lr:0.01000	Time 0.104 (0.083)	Loss 0.0730 (1.8163)	Prec@1 87.500 (70.087)	
Epoch: [0][120/1427]	 lr:0.01000	Time 0.082 (0.083)	Loss 0.0354 (1.6697)	Prec@1 90.625 (71.552)	
Epoch: [0][130/1427]	 lr:0.01000	Time 0.072 (0.082)	Loss 0.0414 (1.5455)	Prec@1 87.500 (72.781)	
Epoch: [0][140/1427]	 lr:0.01000	Time 0.040 (0.081)	Loss 0.0236 (1.4387)	Prec@1 95.312 (73.936)	
Epoch: [0][150/1427]	 lr:0.01000	Time 0.034 (0.098)	Loss 0.0331 (1.3460)	Prec@1 92.188 (74.959)	
Epoch: [0][160/1427]	 lr:0.01000	Time 1.663 (0.126)	Loss 0.0358 (1.2644)	Prec@1 89.062 (75.903)	
Epoch: [0][170/1427]	 lr:0.01000	Time 0.804 (0.171)	Loss 0.0341 (1.1929)	Prec@1 95.312 (76.636)	
Epoch: [0][180/1427]	 lr:0.01000	Time 0.506 (0.185)	Loss 0.0321 (1.1288)	Prec@1 87.500 (77.417)	
