Epoch: [0][0/360]	 lr:0.01000	Time 3.629 (3.629)	Loss 5.4269 (5.4269)	Prec@1 0.000 (0.000)	
Epoch: [0][10/360]	 lr:0.01000	Time 0.063 (0.769)	Loss 0.1271 (2.4105)	Prec@1 82.812 (58.239)	
Epoch: [0][20/360]	 lr:0.01000	Time 1.937 (0.756)	Loss 0.1064 (1.3667)	Prec@1 87.500 (69.643)	
Epoch: [0][30/360]	 lr:0.01000	Time 0.068 (0.658)	Loss 0.1952 (1.0410)	Prec@1 90.625 (73.589)	
Epoch: [0][40/360]	 lr:0.01000	Time 4.137 (0.712)	Loss 0.1071 (0.8370)	Prec@1 85.938 (75.381)	
Epoch: [0][50/360]	 lr:0.01000	Time 0.058 (0.680)	Loss 0.1142 (0.6911)	Prec@1 84.375 (77.206)	
Epoch: [0][60/360]	 lr:0.01000	Time 1.450 (0.665)	Loss 0.0437 (0.5873)	Prec@1 85.938 (79.226)	
Epoch: [0][70/360]	 lr:0.01000	Time 0.054 (0.658)	Loss 0.0744 (0.5111)	Prec@1 79.688 (80.832)	
Epoch: [0][80/360]	 lr:0.01000	Time 1.055 (0.661)	Loss 0.0496 (0.4544)	Prec@1 90.625 (81.790)	
Epoch: [0][90/360]	 lr:0.01000	Time 0.102 (0.651)	Loss 0.0509 (0.4087)	Prec@1 89.062 (82.864)	
Epoch: [0][100/360]	 lr:0.01000	Time 2.358 (0.655)	Loss 0.0489 (0.3714)	Prec@1 89.062 (83.679)	
Epoch: [0][110/360]	 lr:0.01000	Time 0.048 (0.637)	Loss 0.0658 (0.3410)	Prec@1 81.250 (84.333)	
Epoch: [0][120/360]	 lr:0.01000	Time 1.585 (0.634)	Loss 0.0453 (0.3155)	Prec@1 90.625 (84.917)	
Epoch: [0][130/360]	 lr:0.01000	Time 0.268 (0.629)	Loss 0.0197 (0.2937)	Prec@1 92.188 (85.472)	
Epoch: [0][140/360]	 lr:0.01000	Time 0.813 (0.625)	Loss 0.0247 (0.2748)	Prec@1 93.750 (85.915)	
Epoch: [0][150/360]	 lr:0.01000	Time 0.053 (0.623)	Loss 0.0197 (0.2582)	Prec@1 95.312 (86.455)	
Epoch: [0][160/360]	 lr:0.01000	Time 1.287 (0.620)	Loss 0.0302 (0.2438)	Prec@1 89.062 (86.840)	
Epoch: [0][170/360]	 lr:0.01000	Time 0.062 (0.614)	Loss 0.0183 (0.2309)	Prec@1 92.188 (87.153)	
Epoch: [0][180/360]	 lr:0.01000	Time 1.636 (0.618)	Loss 0.0208 (0.2194)	Prec@1 90.625 (87.491)	
Epoch: [0][190/360]	 lr:0.01000	Time 0.054 (0.613)	Loss 0.0151 (0.2091)	Prec@1 96.875 (87.803)	
Epoch: [0][200/360]	 lr:0.01000	Time 1.582 (0.617)	Loss 0.0127 (0.1998)	Prec@1 96.875 (88.153)	
Epoch: [0][210/360]	 lr:0.01000	Time 0.076 (0.609)	Loss 0.0472 (0.1912)	Prec@1 89.062 (88.463)	
Epoch: [0][220/360]	 lr:0.01000	Time 1.860 (0.611)	Loss 0.0105 (0.1834)	Prec@1 98.438 (88.751)	
Epoch: [0][230/360]	 lr:0.01000	Time 0.061 (0.605)	Loss 0.0323 (0.1764)	Prec@1 92.188 (88.927)	
Epoch: [0][240/360]	 lr:0.01000	Time 0.769 (0.603)	Loss 0.0102 (0.1699)	Prec@1 96.875 (89.160)	
Epoch: [0][250/360]	 lr:0.01000	Time 0.060 (0.600)	Loss 0.0073 (0.1640)	Prec@1 98.438 (89.343)	
Epoch: [0][260/360]	 lr:0.01000	Time 0.072 (0.600)	Loss 0.0076 (0.1583)	Prec@1 96.875 (89.619)	
Epoch: [0][270/360]	 lr:0.01000	Time 0.054 (0.596)	Loss 0.0175 (0.1531)	Prec@1 95.312 (89.818)	
Epoch: [0][280/360]	 lr:0.01000	Time 0.887 (0.606)	Loss 0.0082 (0.1481)	Prec@1 100.000 (90.052)	
Epoch: [0][290/360]	 lr:0.01000	Time 0.062 (0.600)	Loss 0.0212 (0.1437)	Prec@1 92.188 (90.233)	
Epoch: [0][300/360]	 lr:0.01000	Time 0.706 (0.599)	Loss 0.0412 (0.1396)	Prec@1 89.062 (90.360)	
Epoch: [0][310/360]	 lr:0.01000	Time 0.054 (0.594)	Loss 0.0127 (0.1356)	Prec@1 95.312 (90.550)	
Epoch: [0][320/360]	 lr:0.01000	Time 0.062 (0.596)	Loss 0.0077 (0.1319)	Prec@1 98.438 (90.679)	
Epoch: [0][330/360]	 lr:0.01000	Time 0.080 (0.595)	Loss 0.0143 (0.1284)	Prec@1 95.312 (90.823)	
Epoch: [0][340/360]	 lr:0.01000	Time 0.549 (0.595)	Loss 0.0107 (0.1251)	Prec@1 95.312 (90.973)	
Epoch: [0][350/360]	 lr:0.01000	Time 0.081 (0.591)	Loss 0.0187 (0.1221)	Prec@1 92.188 (91.084)	
Epoch: [1][0/360]	 lr:0.01000	Time 0.863 (0.863)	Loss 0.0204 (0.0204)	Prec@1 98.438 (98.438)	
Epoch: [1][10/360]	 lr:0.01000	Time 0.110 (0.204)	Loss 0.0172 (0.0151)	Prec@1 95.312 (96.307)	
Epoch: [1][20/360]	 lr:0.01000	Time 0.120 (0.157)	Loss 0.0166 (0.0153)	Prec@1 92.188 (96.280)	
Epoch: [1][30/360]	 lr:0.01000	Time 0.118 (0.150)	Loss 0.0086 (0.0142)	Prec@1 98.438 (96.371)	
Epoch: [1][40/360]	 lr:0.01000	Time 0.130 (0.145)	Loss 0.0021 (0.0135)	Prec@1 100.000 (96.494)	
Epoch: [1][50/360]	 lr:0.01000	Time 0.157 (0.145)	Loss 0.0185 (0.0125)	Prec@1 96.875 (96.814)	
Epoch: [1][60/360]	 lr:0.01000	Time 0.112 (0.138)	Loss 0.0201 (0.0127)	Prec@1 95.312 (96.747)	
Epoch: [1][70/360]	 lr:0.01000	Time 0.094 (0.135)	Loss 0.0053 (0.0125)	Prec@1 98.438 (96.809)	
Epoch: [1][80/360]	 lr:0.01000	Time 0.096 (0.132)	Loss 0.0079 (0.0127)	Prec@1 98.438 (96.682)	
Epoch: [1][90/360]	 lr:0.01000	Time 0.097 (0.130)	Loss 0.0089 (0.0127)	Prec@1 95.312 (96.703)	
Epoch: [1][100/360]	 lr:0.01000	Time 0.108 (0.129)	Loss 0.0132 (0.0127)	Prec@1 95.312 (96.705)	
Epoch: [1][110/360]	 lr:0.01000	Time 0.117 (0.130)	Loss 0.0087 (0.0128)	Prec@1 96.875 (96.776)	
