Epoch: [38][0/4095]	 lr:0.01000	Time 7.403 (7.403)	Loss 0.0605 (0.0605)	KL_Loss 0.5552 (0.5552)	Feat_map_Loss 0.3481 (0.3481)	Overall_Loss 0.4819 (0.4819)	Prec@1 81.250 (81.250)	
Epoch: [38][10/4095]	 lr:0.01000	Time 0.332 (0.987)	Loss 0.0833 (0.0919)	KL_Loss 0.4853 (0.4852)	Feat_map_Loss 0.3939 (0.3562)	Overall_Loss 0.4813 (0.4666)	Prec@1 76.562 (80.114)	
Epoch: [38][20/4095]	 lr:0.01000	Time 0.331 (0.678)	Loss 0.0734 (0.0824)	KL_Loss 0.4446 (0.4791)	Feat_map_Loss 0.3594 (0.3736)	Overall_Loss 0.4387 (0.4675)	Prec@1 79.688 (78.497)	
Epoch: [38][30/4095]	 lr:0.01000	Time 0.437 (0.569)	Loss 0.1303 (0.0823)	KL_Loss 0.3990 (0.4412)	Feat_map_Loss 0.4169 (0.3618)	Overall_Loss 0.4731 (0.4426)	Prec@1 75.000 (79.637)	
Epoch: [38][40/4095]	 lr:0.01000	Time 0.334 (0.510)	Loss 0.1187 (0.0787)	KL_Loss 0.2775 (0.4113)	Feat_map_Loss 0.3819 (0.3631)	Overall_Loss 0.3890 (0.4265)	Prec@1 84.375 (81.021)	
Epoch: [38][50/4095]	 lr:0.01000	Time 0.327 (0.478)	Loss 0.1067 (0.0774)	KL_Loss 0.1970 (0.3775)	Feat_map_Loss 0.3663 (0.3590)	Overall_Loss 0.3350 (0.4069)	Prec@1 92.188 (82.445)	
Epoch: [38][60/4095]	 lr:0.01000	Time 0.333 (0.455)	Loss 0.0796 (0.0764)	KL_Loss 0.3140 (0.3579)	Feat_map_Loss 0.3398 (0.3562)	Overall_Loss 0.3667 (0.3952)	Prec@1 84.375 (83.325)	
Epoch: [38][70/4095]	 lr:0.01000	Time 0.330 (0.437)	Loss 0.0452 (0.0735)	KL_Loss 0.2215 (0.3389)	Feat_map_Loss 0.4370 (0.3541)	Overall_Loss 0.3518 (0.3832)	Prec@1 87.500 (84.111)	
Epoch: [38][80/4095]	 lr:0.01000	Time 0.341 (0.426)	Loss 0.0666 (0.0717)	KL_Loss 0.2790 (0.3240)	Feat_map_Loss 0.3656 (0.3570)	Overall_Loss 0.3556 (0.3764)	Prec@1 85.938 (84.761)	
Epoch: [38][90/4095]	 lr:0.01000	Time 0.342 (0.418)	Loss 0.0597 (0.0703)	KL_Loss 0.2062 (0.3102)	Feat_map_Loss 0.2985 (0.3559)	Overall_Loss 0.2822 (0.3682)	Prec@1 84.375 (85.268)	
Epoch: [38][100/4095]	 lr:0.01000	Time 0.428 (0.410)	Loss 0.0320 (0.0700)	KL_Loss 0.2376 (0.3014)	Feat_map_Loss 0.3248 (0.3573)	Overall_Loss 0.2972 (0.3643)	Prec@1 90.625 (85.489)	
